"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://liftout.com/","text/html; charset=UTF-8","200","OK","Indexable","","Liftout - Find Jobs With Coworkers And Get Hired Together","57","523","Liftout is the direct hiring platform where teams showcase their skills and experience as a unified group for companies to discover and hire them all at once.","158","955","","0","What is Liftout?","16","Your Questions Answered","23","liftout is simple","17","Advance Together, Achieve More","30","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://liftout.com/","","","","","","111757","25121","25121","9.623","","1298","232","5.595","65.327","Normal","7.924","0","0","","71","26","0","100.000","17","12","0","3","3","0","","","","","6465e631a78024c60aee05b614dd32d1","0.330","","","","","en-US","1.1","","","","","","https://liftout.com/","2025-11-28 11:24:29"
"https://liftout.com/wp-content/plugins/breakdance/subplugins/breakdance-elements/dependencies-files/popups@1/popups.css?bd_ver=2.0.0","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.010","Wed, 24 Jul 2024 18:50:31 GMT","","","","","1.1","","","","","","https://liftout.com/wp-content/plugins/breakdance/subplugins/breakdance-elements/dependencies-files/popups@1/popups.css?bd_ver=2.0.0","2025-11-28 11:24:30"
"https://liftout.com/wp-content/uploads/breakdance/css/post-7.css?v=6baa64a57abeb29a494d7c04ad781309","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.128","Sun, 26 Jan 2025 21:16:02 GMT","","","","","1.1","","","","","","https://liftout.com/wp-content/uploads/breakdance/css/post-7.css?v=6baa64a57abeb29a494d7c04ad781309","2025-11-28 11:24:30"
"https://liftout.com/wp-content/uploads/breakdance/css/post-4262.css?v=06165d225d6e93eaedbebe3df0294787","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.128","Sun, 26 Jan 2025 21:25:49 GMT","","","","","1.1","","","","","","https://liftout.com/wp-content/uploads/breakdance/css/post-4262.css?v=06165d225d6e93eaedbebe3df0294787","2025-11-28 11:24:30"
"https://liftout.com/wp-content/uploads/2023/11/LiftOut-Black-Logo.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","443815","443815","443815","170.017","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.137","Fri, 24 Nov 2023 17:28:59 GMT","","","","","1.1","","","","","","https://liftout.com/wp-content/uploads/2023/11/LiftOut-Black-Logo.png","2025-11-28 11:24:30"
"https://liftout.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.123","Thu, 10 Aug 2023 08:29:16 GMT","","","","","1.1","","","","","","https://liftout.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","2025-11-28 11:24:30"
"https://liftout.com/wp-content/uploads/breakdance/css/post-3580.css?v=cca50025634fff61991b2c3fb8c0fcef","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.044","Fri, 10 Nov 2023 01:34:30 GMT","","","","","1.1","","","","","","https://liftout.com/wp-content/uploads/breakdance/css/post-3580.css?v=cca50025634fff61991b2c3fb8c0fcef","2025-11-28 11:24:30"
"https://liftout.com/wp-content/plugins/breakdance/subplugins/breakdance-elements/elements/Header_Builder/header-builder.js?bd_ver=2.0.0","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.043","Wed, 24 Jul 2024 18:50:30 GMT","","","","","1.1","","","","","","https://liftout.com/wp-content/plugins/breakdance/subplugins/breakdance-elements/elements/Header_Builder/header-builder.js?bd_ver=2.0.0","2025-11-28 11:24:30"
"https://liftout.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.3","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.051","Tue, 15 Jul 2025 17:39:12 GMT","","","","","1.1","","","","","","https://liftout.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.3","2025-11-28 11:24:30"
"https://liftout.com/wp-content/uploads/breakdance/css/post-4207.css?v=6a5311b079f4a59889cc45da96727815","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.040","Fri, 10 Nov 2023 01:34:30 GMT","","","","","1.1","","","","","","https://liftout.com/wp-content/uploads/breakdance/css/post-4207.css?v=6a5311b079f4a59889cc45da96727815","2025-11-28 11:24:31"
